model,model_level,lambda_orthogonal,driver_ref,driverId,old_constructor_ref,new_constructor_ref,old_season,new_season,round,raceId,actual,pred_new,pred_old,delta,old_tier,new_tier,tier_dir
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,20,452,12.0,5.607494831085205,5.4333038330078125,0.17419099807739258,A,B,-1.0
model_no_orthogonal,zero,0.0,ricciardo,816,mclaren,alphatauri,2022,2023,20,452,13.0,5.587987422943115,4.909276008605957,0.6787114143371582,A,B,-1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,21,453,9.0,4.026805877685547,5.088742256164551,-1.061936378479004,A,A,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,21,453,11.0,3.9816927909851074,3.035310745239258,0.9463820457458496,B,A,1.0
model_no_orthogonal,zero,0.0,ricciardo,816,mclaren,alphatauri,2022,2023,21,453,14.0,5.135186195373535,4.456475734710693,0.6787104606628418,A,B,-1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,21,453,19.0,6.016349792480469,5.827049732208252,0.1893000602722168,A,B,-1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,22,454,7.0,3.430367946624756,4.317013263702393,-0.8866453170776367,A,A,0.0
model_no_orthogonal,zero,0.0,ricciardo,816,mclaren,alphatauri,2022,2023,22,454,11.0,5.174971103668213,4.496260643005371,0.6787104606628418,A,B,-1.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,22,454,13.0,5.625723838806152,4.35767936706543,1.2680444717407227,B,A,1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,22,454,15.0,4.950282096862793,4.805200099945068,0.1450819969177246,A,B,-1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,haas,sauber,2024,2025,1,479,7.0,6.451292037963867,6.843271255493164,-0.3919792175292969,B,B,0.0
model_no_orthogonal,zero,0.0,hamilton,0,mercedes,ferrari,2024,2025,1,479,10.0,2.0280826091766357,2.20727801322937,-0.17919540405273438,S,S,0.0
model_no_orthogonal,zero,0.0,tsunoda,850,rb,red_bull,2024,2025,1,479,12.0,2.7947304248809814,2.7947306632995605,-2.384185791015625e-07,B,S,2.0
model_no_orthogonal,zero,0.0,ocon,838,alpine,haas,2024,2025,1,479,13.0,6.905264377593994,7.771908760070801,-0.8666443824768066,A,B,-1.0
model_no_orthogonal,zero,0.0,ocon,838,alpine,haas,2024,2025,2,480,5.0,5.267553806304932,6.118067264556885,-0.8505134582519531,A,B,-1.0
model_no_orthogonal,zero,0.0,sainz,831,ferrari,williams,2024,2025,2,480,10.0,5.219705581665039,4.445491790771484,0.7742137908935547,S,B,-2.0
model_no_orthogonal,zero,0.0,hulkenberg,807,haas,sauber,2024,2025,2,480,15.0,5.420485496520996,5.809619903564453,-0.38913440704345703,B,B,0.0
